CROP_YEAR,STATE_CODE,STATE_ABBR,COUNTY_CODE,COUNTY_NAME,CROP_CODE,CROP_NAME,INSURANCE_PLAN_CODE,INSURANCE_PLAN_NAME,STAGE_CODE,COVERAGE_TYPE,COVERAGE_LEVEL,POLICIES_SOLD,POLICIES_EARNING_PREMIUM,POLICIES_INDEMNIFIED,UNITS_EARNING_PREMIUM,UNITS_INDEMNIFIED,QUANTITY_TYPE,NET_REPORTED_QUANTITY,COMPANION_QUANTITY,LIABILITY,TOTAL_PREMIUM,PRODUCER_PREMIUM,SUBSIDY,STATE_SUBSIDY,ADDITIONAL_SUBSIDY,INDEMNITY,LOSS_RATIO
2023,18,IN,63,hendricks                     ,81,Soybeans                      ,4,AYP       ,A    ,RBUP,0.9,1,1,0,1,0,Acres                    ,528.0,0,357127.0,10392.0,5300,0,0,0,0.0,0.0
2023,31,NE,39,Cuming                        ,41,Corn                          ,2,RP        ,A    ,RBUP,0.7,89,76,55,229,138,Acres                    ,20767.0,0,18876035.0,1285088.0,802858,0,0,0,3905137.0,3.0388090154137304
2023,38,ND,59,Morton                        ,11,  Wheat   ,2,RP        ,A    ,RBUP,0.75,229,160,34,230,46,Acres                    ,97662.0,0,29098195.0,5956764.0,4416194,0,0,0,1002769.0,0.16834123359595915
2023,39,OH,107,Mercer                        ,81,Soybeans                      ,88,ECO-RP    ,A    ,RBUP,,2,2,0,2,0,Acres                    ,0.0,164,5806.0,2084.0,917,0,0,0,0.0,0.0
2023,19,IA,99,Jasper                        ,81,Soybeans                      ,5,ARP       ,A    ,RBUP,0.9,4,4,0,9,0,Acres                    ,730.0,0,711150.0,36553.0,16084,0,0,0,0.0,0.0
2023,20,KS,113,Mcpherson                     ,11,Wheat                         ,32,SCO-RP    ,A    ,RBUP,0.7,11,5,5,23,16,Acres                    ,0.0,1354,116506.0,51492.0,33471,0,0,0,53293.0,1.0349763069991456
2023,46,SD,25,Clark                         ,41,Corn                          ,2,RP        ,A    ,RBUP,0.8,46,32,15,39,22,Acres                    ,12162.0,0,11198710.0,1487708.0,973334,0,0,0,915390.0,0.6153021963987557
2023,19,IA,99,Jasper                        ,41,Corn                          ,1,YP        ,A    ,RBUP,0.5,1,1,0,7,0,Acres                    ,483.0,0,293968.0,3110.0,2084,0,0,0,0.0,0.0
2023,27,MN,115,Pine                          ,81,Soybeans                      ,2,RP        ,A    ,RBUP,0.8,25,13,7,13,7,Acres                    ,3249.0,0,1265899.0,241684.0,161827,0,0,0,454530.0,1.8806789030304034
2023,19,IA,103,Johnson                       ,41,Corn                          ,33,SCO-RPHPE ,A    ,RBUP,0.75,1,1,0,1,0,Acres                    ,0.0,43,5353.0,1014.0,659,0,0,0,0.0,0.0
2023,19,IA,181,Warren                        ,81,Soybeans                      ,88,ECO-RP    ,A    ,RBUP,0.95,7,6,0,35,0,Acres                    ,0.0,2162,145088.0,65580.0,28858,0,0,0,0.0,0.0
2023,46,SD,27,Clay                          ,41,Corn                          ,17,MP-HPO    ,A    ,RBUP,0.7,0,0,0,2,0,Acres                    ,0.0,707,427139.0,9693.0,5719,0,0,0,0.0,0.0
2023,18,In,165,Vermillion                    ,81,Soybeans                      ,2,RP        ,A    ,RBUP,0.8,57,45,7,74,16,Acres                    ,13319.0,0,9093344.0,642251.0,417306,0,0,0,33764.0,0.052571346716470665
2023,39,OH,135,Preble                        ,81,Soybeans                      ,2,RP        ,A    ,RBUP,0.6,4,4,0,4,0,Acres                    ,548.0,0,249220.0,7374.0,5752,0,0,0,0.0,0.0
2023,19,Ia,159,Ringgold                      ,11,Wheat                         ,1,YP        ,A    ,RBUP,0.75,1,0,0,0,0,Acres                    ,0.0,0,0.0,0.0,0,0,0,0,0.0,
2023,17,IL,93,Kendall                       ,81,Soybeans                      ,32,SCO-RP    ,A    ,RBUP,0.8,9,8,0,13,0,Acres                    ,0.0,1554,64061.0,13134.0,8536,0,0,0,0.0,0.0
2023,46,SD,101,Moody                         ,81,Soybeans                      ,1,YP        ,A    ,RBUP,0.75,3,3,1,3,1,Acres                    ,171.0,0,108778.0,3108.0,2127,0,0,0,1896.0,0.61003861003861
2023,27,MN,163,Washington                    ,81,Soybeans                      ,2,RP        ,A    ,RBUP,0.75,37,29,10,46,13,Acres                    ,3789.0,0,1986672.0,184503.0,120850,0,0,0,99716.0,0.5404573367370721
2023,20,KS,121,Miami                         ,81,Soybeans                      ,2,RP        ,A    ,RBUP,0.8,56,39,36,55,47,Acres                    ,7575.0,0,3203745.0,412630.0,260682,0,0,0,957497.0,2.3204735477304124
2023,17,IL,65,Hamilton                      ,11,Wheat                         ,2,RP        ,A    ,RBUP,0.65,28,10,0,12,0,Acres                    ,2087.0,0,818960.0,128196.0,94400,0,0,0,0.0,0.0
2023,48,TX,481,Wharton                       ,21,Cotton                        ,2,RP        ,A    ,RBUP,0.7,195,99,62,242,146,Acres                    ,21816.0,0,14417180.0,1698332.0,1125167,0,0,0,2448305.0,1.4415938697498487
2023,18,IN,17,Cass                          ,41,Corn                          ,2,RP        ,A    ,RBUP,0.8,116,102,5,116,5,Acres                    ,27914.0,0,26829589.0,1097971.0,727145,0,0,0,41950.0,0.03820683788551792
2023,48,TX,123,De Witt                       ,11,Wheat                         ,2,RP        ,A    ,RBUP,0.7,1,1,0,1,0,Acres                    ,17.0,0,2697.0,616.0,363,0,0,0,0.0,0.0
2023,19,IA,115,Louisa                        ,41,Corn                          ,88,ECO-RP    ,A    ,RBUP,0.95,11,8,8,26,26,Acres                    ,0.0,2584,202574.0,111393.0,51341,0,0,0,157804.0,1.4166419792985196
2023,27,MN,87,Mahnomen                      ,81,Soybeans                      ,2,RP        ,A    ,RBUP,0.6,5,4,1,4,1,Acres                    ,217.0,0,67354.0,3698.0,2777,0,0,0,1388.0,0.37533802055164955
2023,31,NE,57,Dundy                         ,81,Soybeans                      ,2,RP        ,A    ,RBUP,0.85,8,4,3,13,10,Acres                    ,1389.0,0,818537.0,125986.0,47875,0,0,0,352496.0,2.797898179162764
2023,27,MN,45,Fillmore                      ,41,Corn                          ,88,ECO-RP    ,A    ,RBUP,0.95,16,16,16,106,106,Acres                    ,0.0,9757,668930.0,331140.0,145896,0,0,0,659779.0,1.9924473032554206
2023,31,NE,53,Dodge                         ,81,Soybeans                      ,2,RP        ,A    ,RBUP,0.7,133,103,46,298,78,Acres                    ,16177.0,0,9564589.0,347542.0,218021,0,0,0,330047.0,0.949660760426078
2023,19,IA,21,Buena Vista                   ,81,Soybeans                      ,1,YP        ,A    ,RBUP,0.5,1,1,0,1,0,Acres                    ,143.0,0,61175.0,188.0,126,0,0,0,0.0,0.0
2023,31,NE,93,Howard                        ,11,Wheat                         ,32,SCO-RP    ,A    ,RBUP,0.75,1,0,0,0,0,Acres                    ,0.0,0,0.0,0.0,0,0,0,0,0.0,
2023,46,SD,9,Bon Homme                     ,81,Soybeans                      ,17,MP-HPO    ,A    ,RBUP,0.7,0,0,0,1,0,Acres                    ,0.0,107,48517.0,94.0,55,0,0,0,0.0,0.0
2023,17,IL,179,Tazewell                      ,41,Corn                          ,31,SCO-YP    ,A    ,RBUP,0.8,1,1,0,1,0,Acres                    ,0.0,638,50260.0,3792.0,2464,0,0,0,0.0,0.0
2023,18,IN,135,Randolph                      ,11,Wheat                         ,2,RP        ,A    ,RBUP,0.7,16,5,0,5,0,Acres                    ,134.0,0,60554.0,5962.0,3517,0,0,0,0.0,0.0
2023,48,TX,369,Parmer                        ,11,Wheat                         ,2,RP        ,A    ,RBUP,0.65,162,22,21,37,28,Acres                    ,5956.0,0,1105329.0,419091.0,308591,0,0,0,625736.0,1.493079068746406
2023,18,IN,137,Ripley                        ,11,Wheat                         ,1,YP        ,A    ,RBUP,0.5,1,0,0,0,0,Acres                    ,0.0,0,0.0,0.0,0,0,0,0,0.0,
2023,31,ne,127,NEMAHA                        ,81,Soybeans                      ,2,RP        ,A    ,RBUP,0.65,12,10,0,28,0,Acres                    ,2002.0,0,953165.0,37894.0,24188,0,0,0,0.0,0.0
2023,17,IL,37,De Kalb                       ,81,Soybeans                      ,88,ECO-RP    ,A    ,RBUP,0.9,4,4,0,5,0,Acres                    ,0.0,373,13247.0,4185.0,1841,0,0,0,0.0,0.0
2023,38,ND,67,Pembina                       ,41,Corn                          ,2,RP        ,A    ,RBUP,0.8,18,8,5,11,5,Acres                    ,3223.0,0,2168711.0,467597.0,287617,0,0,0,131709.0,0.2816720381011854
2023,31,NE,139,Pierce                        ,81,,2,RP        ,A    ,RBUP,0.5,1,0,0,2,0,Acres                    ,554.0,0,257837.0,3523.0,2558,0,0,0,0.0,0.0
2023,27,MN,163,Washington                    ,41,Corn                          ,32,SCO-RP    ,A    ,RBUP,0.8,7,7,7,27,27,Acres                    ,0.0,1062,70290.0,24651.0,16025,0,0,0,57849.0,2.3467202141900936
2023,19,IA,155,Pottawattamie                 ,81,Soybeans                      ,1,YP        ,A    ,RBUP,0.5,2,2,0,2,0,Acres                    ,267.0,0,109067.0,981.0,658,0,0,0,0.0,0.0
